Sample Type,Analysis Name,Sample_Code,Client Name,Farm Name,field_6,Field Name,Cooperative,y,x,Crop,Depth,Condition,Comments,C (%),%Sand (%),%Silt (%),BD (g/cm3),%Clay (%),FAO Soil Type
Soil Analysis,"Soil Organic Carbon (Dry Combustion) ,Soil Texture Analysis",CR442SA0030,Regenerative carbon Alliance,Regenerative carbon Alliance,,A58,Adu,-2.788289,39.997302,No crop,Top Soil,Moist,,0.67,81.3,6.0,,12.7,ARl
Soil Analysis,"Soil Organic Carbon (Dry Combustion) ,Soil Texture Analysis",CR442SA0031,Regenerative carbon Alliance,Regenerative carbon Alliance,,A59,Adu,-2.790589,39.995645,No crop,Top Soil,Moist,,0.42,87.6,3.64,,8.76,ARl
Soil Analysis,"Soil Bulk Density,Soil Organic Carbon (Dry Combustion),Soil Texture Analysis",CR442SA0032,Regenerative carbon Alliance,Regenerative carbon Alliance,,A60,Adu,-2.791509,39.995951,No crop,Top Soil,Moist,,0.5,81.6,5.64,1.5,12.76,ARl
Soil Analysis,"Soil Organic Carbon (Dry Combustion) ,Soil Texture Analysis",CR442SA0033,Regenerative carbon Alliance,Regenerative carbon Alliance,,A61,Adu,-2.806668,39.999537,No crop,Top Soil,Moist,,0.82,79.6,9.64,,10.76,ARl
Soil Analysis,"Soil Organic Carbon (Dry Combustion) ,Soil Texture Analysis",CR442SA0034,Regenerative carbon Alliance,Regenerative carbon Alliance,,A62,Adu,-2.809541,39.998957,No crop,Top Soil,Moist,,0.79,77.6,5.64,,16.76,ARl
Soil Analysis,"Soil Bulk Density,Soil Organic Carbon (Dry Combustion),Soil Texture Analysis",CR442SA0035,Regenerative carbon Alliance,Regenerative carbon Alliance,,A63,Adu,-2.809631,39.988063,No crop,Top Soil,Moist,,3.76,57.6,11.6,1.24,30.8,ARl
Soil Analysis,"Soil Organic Carbon (Dry Combustion) ,Soil Texture Analysis",CR442SA0036,Regenerative carbon Alliance,Regenerative carbon Alliance,,A64,Adu,-2.806231,39.985358,No crop,Top Soil,Moist,,0.3,79.6,13.6,,6.8,ARl
Soil Analysis,"Soil Organic Carbon (Dry Combustion) ,Soil Texture Analysis",CR442SA0037,Regenerative carbon Alliance,Regenerative carbon Alliance,,A65,Adu,-2.8060223,39.9863842,No crop,Top Soil,Moist,,0.38,81.6,7.64,,10.76,ARl
Soil Analysis,"Soil Organic Carbon (Dry Combustion) ,Soil Texture Analysis",CR442SA0038,Regenerative carbon Alliance,Regenerative carbon Alliance,,A66,Adu,-2.8036379,39.96687,No crop,Top Soil,Moist,,0.55,77.6,5.64,,16.76,ARl
Soil Analysis,"Soil Organic Carbon (Dry Combustion) ,Soil Texture Analysis",CR442SA0039,Regenerative carbon Alliance,Regenerative carbon Alliance,,A67,Adu,-2.8036403,39.9672399,No crop,Top Soil,Moist,,0.33,79.6,7.64,,12.76,ARl
Soil Analysis,"Soil Bulk Density,Soil Organic Carbon (Dry Combustion),Soil Texture Analysis",CR442SA0040,Regenerative carbon Alliance,Regenerative carbon Alliance,,A68,Adu,-2.8020024,39.9664358,No crop,Top Soil,Moist,,0.46,85.6,7.64,1.65,6.76,ARl
Soil Analysis,"Soil Bulk Density,Soil Organic Carbon (Dry Combustion),Soil Texture Analysis",CR442SA0041,Regenerative carbon Alliance,Regenerative carbon Alliance,,A69,Adu,-2.8086586,39.967273,No crop,Top Soil,Moist,,0.44,83.6,7.64,1.63,8.76,ARl
Soil Analysis,"Soil Organic Carbon (Dry Combustion) ,Soil Texture Analysis",CR442SA0042,Regenerative carbon Alliance,Regenerative carbon Alliance,,A70,Adu,-2.831378,39.978948,No crop,Top Soil,Moist,,0.56,65.6,11.6,,22.8,ARl
Soil Analysis,"Soil Bulk Density,Soil Organic Carbon (Dry Combustion),Soil Texture Analysis",CR442SA0044,Regenerative carbon Alliance,Regenerative carbon Alliance,,A72,Adu,-2.8311745,39.9341444,No crop,Top Soil,Moist,,0.68,81.6,5.64,1.48,12.76,ARl
Soil Analysis,"Soil Organic Carbon (Dry Combustion) ,Soil Texture Analysis",CR442SA0045,Regenerative carbon Alliance,Regenerative carbon Alliance,,A73,Adu,-2.819666,39.9368279,No crop,Top Soil,Moist,,0.4,77.6,5.64,,16.76,ARl
Soil Analysis,"Soil Organic Carbon (Dry Combustion) ,Soil Texture Analysis",CR442SA0046,Regenerative carbon Alliance,Regenerative carbon Alliance,,A74,Adu,-2.8216238,39.9749138,No crop,Top Soil,Moist,,0.62,81.6,7.64,,10.76,ARl
Soil Analysis,"Soil Organic Carbon (Dry Combustion) ,Soil Texture Analysis",CR442SA0047,Regenerative carbon Alliance,Regenerative carbon Alliance,,A75,Adu,-2.8335123,39.9366723,No crop,Top Soil,Moist,,0.67,83.6,5.64,,10.76,ARl
Soil Analysis,"Soil Organic Carbon (Dry Combustion) ,Soil Texture Analysis",CR442SA0048,Regenerative carbon Alliance,Regenerative carbon Alliance,,A76,Adu,-2.8314048,39.9383844,No crop,Top Soil,Moist,,1.03,79.6,3.64,,16.76,ARl
Soil Analysis,"Soil Bulk Density,Soil Organic Carbon (Dry Combustion),Soil Texture Analysis",CR442SA0049,Regenerative carbon Alliance,Regenerative carbon Alliance,,A77,Adu,-2.8311637,39.9397795,No crop,Top Soil,Moist,,1.24,69.6,5.64,1.34,24.76,ARl
Soil Analysis,"Soil Bulk Density,Soil Organic Carbon (Dry Combustion),Soil Texture Analysis",CR442SA0050,Regenerative carbon Alliance,Regenerative carbon Alliance,,A78,Adu,-2.8311657,39.9385449,No crop,Top Soil,Moist,,1.02,71.6,3.64,1.38,24.76,ARl
Soil Analysis,"Soil Bulk Density,Soil Organic Carbon (Dry Combustion),Soil Texture Analysis",CR442SA0051,Regenerative carbon Alliance,Regenerative carbon Alliance,,A79,Adu,-2.8309601,39.9386349,No crop,Top Soil,Moist,,0.31,83.6,3.64,1.49,12.76,ARl
Soil Analysis,"Soil Organic Carbon (Dry Combustion) ,Soil Texture Analysis",CR442SA0052,Regenerative carbon Alliance,Regenerative carbon Alliance,,A80,Adu,-2.7876372,39.9940019,No crop,Top Soil,Moist,,0.52,89.6,3.64,,6.76,ARl
Soil Analysis,"Soil Organic Carbon (Dry Combustion) ,Soil Texture Analysis",CR442SA0053,Regenerative carbon Alliance,Regenerative carbon Alliance,,A81,Adu,-2.7877802,39.9934819,No crop,Top Soil,Moist,,0.25,87.6,5.64,,6.76,ARl
Soil Analysis,"Soil Organic Carbon (Dry Combustion) ,Soil Texture Analysis",CR442SA0054,Regenerative carbon Alliance,Regenerative carbon Alliance,,A82,Adu,-2.793239,39.9931439,No crop,Top Soil,Moist,,0.38,79.6,9.64,,10.76,ARl
Soil Analysis,"Soil Organic Carbon (Dry Combustion) ,Soil Texture Analysis",CR442SA0055,Regenerative carbon Alliance,Regenerative carbon Alliance,,A83,Adu,-2.8355496,39.979548,No crop,Top Soil,Moist,,0.5,81.6,5.64,,12.76,ARl
Soil Analysis,"Soil Organic Carbon (Dry Combustion) ,Soil Texture Analysis",CR442SA0056,Regenerative carbon Alliance,Regenerative carbon Alliance,,A84,Adu,-2.835749,39.979416,No crop,Top Soil,Moist,,0.43,77.6,9.64,,12.76,ARl
Soil Analysis,"Soil Organic Carbon (Dry Combustion) ,Soil Texture Analysis",CR442SA0058,Regenerative carbon Alliance,Regenerative carbon Alliance,,A86,Adu,-2.8331897,39.9516542,No crop,Top Soil,Moist,,0.58,73.6,9.64,,16.76,ARl
Soil Analysis,"Soil Organic Carbon (Dry Combustion) ,Soil Texture Analysis",CR442SA0059,Regenerative carbon Alliance,Regenerative carbon Alliance,,A87,Adu,-2.831231,39.9514369,No crop,Top Soil,Moist,,0.74,61.6,11.6,,26.8,ARl
Soil Analysis,"Soil Organic Carbon (Dry Combustion) ,Soil Texture Analysis",CR442SA0060,Regenerative carbon Alliance,Regenerative carbon Alliance,,A88,Adu,-2.8275736,39.9475437,No crop,Top Soil,Moist,,0.2,89.6,3.64,,6.76,ARl
Soil Analysis,"Soil Organic Carbon (Dry Combustion) ,Soil Texture Analysis",CR442SA0061,Regenerative carbon Alliance,Regenerative carbon Alliance,,A89,Adu,-2.8273105,39.947692,No crop,Top Soil,Moist,,0.18,87.6,5.64,,6.76,ARl
Soil Analysis,"Soil Organic Carbon (Dry Combustion) ,Soil Texture Analysis",CR442SA0063,Regenerative carbon Alliance,Regenerative carbon Alliance,,A91,Adu,-2.8224866,39.9386042,No crop,Top Soil,Moist,,0.91,73.6,7.64,,18.76,ARl
Soil Analysis,"Soil Organic Carbon (Dry Combustion) ,Soil Texture Analysis",CR442SA0064,Regenerative carbon Alliance,Regenerative carbon Alliance,,A92,Adu,-2.8196067,39.9381063,No crop,Top Soil,Moist,,0.53,83.6,5.64,,10.76,ARl
Soil Analysis,"Soil Organic Carbon (Dry Combustion) ,Soil Texture Analysis",CR442SA0065,Regenerative carbon Alliance,Regenerative carbon Alliance,,A93,Adu,-2.8195069,39.937923,No crop,Top Soil,Moist,,1.75,71.6,11.6,,16.8,ARl
Soil Analysis,"Soil Organic Carbon (Dry Combustion) ,Soil Texture Analysis",CR442SA0066,Regenerative carbon Alliance,Regenerative carbon Alliance,,A94,Adu,-2.819775,39.9370002,No crop,Top Soil,Moist,,0.44,81.6,5.64,,12.76,ARl
Soil Analysis,"Soil Organic Carbon (Dry Combustion) ,Soil Texture Analysis",CR442SA0067,Regenerative carbon Alliance,Regenerative carbon Alliance,,A95,Adu,-2.8316392,39.973737,No crop,Top Soil,Moist,,0.88,73.6,5.64,,20.76,ARl
Soil Analysis,"Soil Organic Carbon (Dry Combustion) ,Soil Texture Analysis",CR442SA0068,Regenerative carbon Alliance,Regenerative carbon Alliance,,Adu2,Adu,-2.783438,39.972967,No crop,Top Soil,Moist,,2.51,49.6,11.6,,38.8,ARl
Soil Analysis,"Soil Organic Carbon (Dry Combustion) ,Soil Texture Analysis",CR442SA0084,Regenerative carbon Alliance,Regenerative carbon Alliance,,Adu24,Adu,-2.839902,39.987911,No crop,Top Soil,Moist,,1.37,61.6,9.64,,28.76,ARl
Soil Analysis,"Soil Organic Carbon (Dry Combustion) ,Soil Texture Analysis",CR442SA0085,Regenerative carbon Alliance,Regenerative carbon Alliance,,Adu25,Adu,-2.837779,39.98681,No crop,Top Soil,Moist,,1.69,67.6,9.64,,22.76,ARl
Soil Analysis,"Soil Organic Carbon (Dry Combustion) ,Soil Texture Analysis",CR442SA0086,Regenerative carbon Alliance,Regenerative carbon Alliance,,Adu26,Adu,-2.837486,39.987236,No crop,Top Soil,Moist,,0.9,77.6,7.64,,14.76,ARl
Soil Analysis,"Soil Organic Carbon (Dry Combustion) ,Soil Texture Analysis",CR442SA0087,Regenerative carbon Alliance,Regenerative carbon Alliance,,Adu27,Adu,-2.837881,39.98758,No crop,Top Soil,Moist,,1.4,69.6,5.64,,24.76,ARl
Soil Analysis,"Soil Bulk Density,Soil Organic Carbon (Dry Combustion),Soil Texture Analysis",CR442SA0088,Regenerative carbon Alliance,Regenerative carbon Alliance,,Adu28,Adu,-2.874717,39.97051,No crop,Top Soil,Moist,,2.72,61.6,11.6,1.33,26.8,ARl
Soil Analysis,"Soil Organic Carbon (Dry Combustion) ,Soil Texture Analysis",CR442SA0090,Regenerative carbon Alliance,Regenerative carbon Alliance,,Adu3,Adu,-2.7903319,39.998681,No crop,Top Soil,Moist,,1.16,73.6,11.6,,14.8,ARl
Soil Analysis,"Soil Organic Carbon (Dry Combustion) ,Soil Texture Analysis",CR442SA0093,Regenerative carbon Alliance,Regenerative carbon Alliance,,Adu7,Adu,-2.8288239,39.9347613,No crop,Top Soil,Moist,,0.68,79.6,9.64,,10.76,ARl
