Sample Type,Analysis Name,Sample_Code,Client Name,Farm Name,field_6,Field Name,Cooperative,y,x,Crop,Depth,Condition,Comments,C (%),%Sand (%),%Silt (%),BD (g/cm3),%Clay (%),FAO Soil Type
Soil Analysis,"Soil Bulk Density,Soil Organic Carbon (Dry Combustion),Soil Texture Analysis",CR442SA0138,Regenerative carbon Alliance,Regenerative carbon Alliance,,KA51,Kabianga,-0.4222144,35.1387888,Tea,Top Soil,Moist,,3.6,15.6,19.6,1.09,64.8,NTu
Soil Analysis,"Soil Bulk Density,Soil Organic Carbon (Dry Combustion),Soil Texture Analysis",CR442SA0139,Regenerative carbon Alliance,Regenerative carbon Alliance,,KA52,Kabianga,-0.3989269,35.1023141,Tea,Top Soil,Moist,,3.33,23.6,21.6,1.09,54.8,NTu
Soil Analysis,"Soil Bulk Density,Soil Organic Carbon (Dry Combustion),Soil Texture Analysis",CR442SA0140,Regenerative carbon Alliance,Regenerative carbon Alliance,,KA53,Kabianga,-0.4050438,35.1822397,Tea,Top Soil,Moist,,6.18,21.6,25.6,1.11,52.8,NTu
Soil Analysis,"Soil Bulk Density,Soil Organic Carbon (Dry Combustion),Soil Texture Analysis",CR442SA0149,Regenerative carbon Alliance,Regenerative carbon Alliance,,KIP50,Kipsigis,-0.614858,35.25533,Tea,Top Soil,Moist,,4.28,21.6,25.6,1.16,52.8,NTu
Soil Analysis,"Soil Bulk Density,Soil Organic Carbon (Dry Combustion),Soil Texture Analysis",CR442SA0150,Regenerative carbon Alliance,Regenerative carbon Alliance,,KIP51,Kipsigis,-0.617925,35.28242,Tea,Top Soil,Moist,,4.03,25.6,25.6,1.03,48.8,NTu
Soil Analysis,"Soil Bulk Density,Soil Organic Carbon (Dry Combustion),Soil Texture Analysis",CR442SA0151,Regenerative carbon Alliance,Regenerative carbon Alliance,,KIP52,Kipsigis,-0.602682,35.25003,"Tea, Sweet potato",Top Soil,Moist,,2.52,23.6,19.6,1.13,56.8,NTu
Soil Analysis,"Soil Bulk Density,Soil Organic Carbon (Dry Combustion),Soil Texture Analysis",CR442SA0152,Regenerative carbon Alliance,Regenerative carbon Alliance,,KIP54,Kipsigis,-0.601893,35.24019,Tea,Top Soil,Moist,,6.05,23.6,27.6,1.03,48.8,NTu
Soil Analysis,"Soil Bulk Density,Soil Organic Carbon (Dry Combustion),Soil Texture Analysis",CR442SA0171,Regenerative carbon Alliance,Regenerative carbon Alliance,,L57,Lanyuak,-0.79433,35.8938,Potato,Top Soil,Moist,,4.62,29.3,34,0.93,36.7,ANm
Soil Analysis,"Soil Bulk Density,Soil Organic Carbon (Dry Combustion),Soil Texture Analysis",CR442SA0172,Regenerative carbon Alliance,Regenerative carbon Alliance,,L58,Lanyuak,-0.78786,35.89042,Corn,Top Soil,Moist,,4.89,29.3,30,0.9,40.7,ANm
Soil Analysis,"Soil Bulk Density,Soil Organic Carbon (Dry Combustion),Soil Texture Analysis",CR442SA0173,Regenerative carbon Alliance,Regenerative carbon Alliance,,L59,Lanyuak,-0.78242,35.89213,Potato,Top Soil,Moist,,4.19,25.3,34,0.96,40.7,ANm
Soil Analysis,"Soil Bulk Density,Soil Organic Carbon (Dry Combustion),Soil Texture Analysis",CR442SA0174,Regenerative carbon Alliance,Regenerative carbon Alliance,,L60,Lanyuak,-0.78267,35.893,Corn,Top Soil,Moist,,4.24,31.3,26,1.05,42.7,ANm
Soil Analysis,"Soil Bulk Density,Soil Organic Carbon (Dry Combustion),Soil Texture Analysis",CR442SA0175,Regenerative carbon Alliance,Regenerative carbon Alliance,,L61,Lanyuak,-0.77419,35.89103,Potato,Top Soil,Moist,,5.54,27.3,32,0.95,40.7,ANm
Soil Analysis,"Soil Bulk Density,Soil Organic Carbon (Dry Combustion),Soil Texture Analysis",CR442SA0176,Regenerative carbon Alliance,Regenerative carbon Alliance,,L62,Lanyuak,-0.76992,35.88869,"Onion, Arrowroots",Top Soil,Moist,,4.32,27.3,32,1.07,40.7,ANm
Soil Analysis,"Soil Bulk Density,Soil Organic Carbon (Dry Combustion),Soil Texture Analysis",CR442SA0197,Regenerative carbon Alliance,Regenerative carbon Alliance,,M54,Mumberes,0.0270853,35.4774931,Corn,Top Soil,Moist,,2.07,17.3,16,1.04,66.7,NTh
Soil Analysis,"Soil Bulk Density,Soil Organic Carbon (Dry Combustion),Soil Texture Analysis",CR442SA0203,Regenerative carbon Alliance,Regenerative carbon Alliance,,M60,Mumberes,0.0098373,35.5034244,"Potato, grazing",Top Soil,Moist,,4.6,19.3,16,0.94,64.7,NTh
Soil Analysis,"Soil Bulk Density,Soil Organic Carbon (Dry Combustion),Soil Texture Analysis",CR442SA0207,Regenerative carbon Alliance,Regenerative carbon Alliance,,M64,Mumberes,0.0010813,35.515889,Grazing,Top Soil,Moist,,6.06,25.3,32,0.98,42.7,NTh
Soil Analysis,"Soil Bulk Density,Soil Organic Carbon (Dry Combustion),Soil Texture Analysis",CR442SA0213,Regenerative carbon Alliance,Regenerative carbon Alliance,,M70,Mumberes,-0.0037175,35.4881073,Irish Potato,Top Soil,Moist,,3.21,17.3,14,1.11,68.7,NTh
Soil Analysis,"Soil Bulk Density,Soil Organic Carbon (Dry Combustion),Soil Texture Analysis",CR442SA0214,Regenerative carbon Alliance,Regenerative carbon Alliance,,M71,Mumberes,0.032548,35.5050706,Grazing,Top Soil,Moist,,2.65,13.3,26,1,60.7,NTh
Soil Analysis,"Soil Bulk Density,Soil Organic Carbon (Dry Combustion),Soil Texture Analysis",CR442SA0220,Regenerative carbon Alliance,Regenerative carbon Alliance,,M77,Mumberes,0.0080513,35.513484,Irish Potato,Top Soil,Moist,,7.24,25.3,26,1.02,48.7,NTh
Soil Analysis,"Soil Bulk Density,Soil Organic Carbon (Dry Combustion),Soil Texture Analysis",CR442SA0222,Regenerative carbon Alliance,Regenerative carbon Alliance,,MNTU18R,Mumberes,0.03339,35.57908,Corn,Top Soil,Moist,,5.67,15.3,16,1.03,68.7,NTu
Soil Analysis,"Soil Bulk Density,Soil Organic Carbon (Dry Combustion),Soil Texture Analysis",CR442SA0223,Regenerative carbon Alliance,Regenerative carbon Alliance,,MNTU24R,Mumberes,0.04247,35.57331,Potato,Top Soil,Moist,,5.95,23.3,20,1.08,56.7,NTu
Soil Analysis,"Soil Bulk Density,Soil Organic Carbon (Dry Combustion),Soil Texture Analysis",CR442SA0226,Regenerative carbon Alliance,Regenerative carbon Alliance,,MNTU31R,Mumberes,-0.031,35.62242,Corn,Top Soil,Moist,,3.26,11.3,18,1.09,70.7,NTu
Soil Analysis,"Soil Bulk Density,Soil Organic Carbon (Dry Combustion),Soil Texture Analysis",CR442SA0227,Regenerative carbon Alliance,Regenerative carbon Alliance,,MNTU35R,Mumberes,0.03833,35.57606,Corn,Top Soil,Moist,,5.87,15.3,22,1.02,62.7,NTu
Soil Analysis,"Soil Bulk Density,Soil Organic Carbon (Dry Combustion),Soil Texture Analysis",CR442SA0234,Regenerative carbon Alliance,Regenerative carbon Alliance,,MNTU7R,Mumberes,0.03028,35.58417,Corn,Top Soil,Moist,,3.59,19.3,20,0.93,60.7,NTu
Soil Analysis,"Soil Bulk Density,Soil Organic Carbon (Dry Combustion),Soil Texture Analysis",CR442SA0235,Regenerative carbon Alliance,Regenerative carbon Alliance,,MNTU81R,Mumberes,0.02947,35.58547,Corn,Top Soil,Moist,,5.77,19.3,20,1.01,60.7,NTu
